name,value
gender,Masculino
gender,Femenino
blood.type,A+
blood.type,A-
blood.type,B+
blood.type,B-
blood.type,AB+
blood.type,AB-
blood.type,O+
blood.type,O-
parent,Hermana/o
parent,Materno
parent,Paterno
familiar,Abuela
familiar,Abuelo
familiar,Hermana
familiar,Hermano
familiar,Madre
familiar,Padre
familiar,Prima/o
familiar,Sobrina
familiar,Sobrino
familiar,Tía
familiar,Tío
frequency.unit,días
frequency.unit,horas
frequency.unit,minutos
frequency.unit,segundos
frequency.unit,semanas
frequency.unit,cuando sea necesario
dose.unit,mL    
dose.unit,mg    
dose.unit,L     
dose.unit,kg    
dose.unit,mmol  
dose.unit,ug    
dose.unit,unidad
drug.form,Aerosol dosificador
drug.form,Aerosol con propelentes
drug.form,Barra masticable
drug.form,Perla
drug.form,Oblea
drug.form,Bolo
drug.form,Cápsula
drug.form,Cartucho
drug.form,Cápsula de liberación retardada
drug.form,Pasta
drug.form,Cable
drug.form,Crema
drug.form,Jeringa
drug.form,Gotas
drug.form,Apósito
drug.form,Cápsula con cubierta entérica
drug.form,Comprimido con cubierta entérica
drug.form,Elixir
drug.form,Emulsión
drug.form,Enema
drug.form,Comprimido efervescente
drug.form,Hilo dental
drug.form,Gas
drug.form,Granulado para suspensión de liberación retardada
drug.form,Granulado efervescente
drug.form,Gel
drug.form,Gel de liberación controlada
drug.form,Glóbulos
drug.form,Gránulos
drug.form,Injerto
drug.form,goma masticable
drug.form,Implante
drug.form,Inserto
drug.form,Inserto de liberación prolongada
drug.form,Jalea
drug.form,Equipo
drug.form,Hoja
drug.form,Liposoma
drug.form,Liquido
drug.form,Loción
drug.form,Pastilla
drug.form,Enjuague bucal para hacer gárgaras
drug.form,Ungüento
drug.form,Ovulos
drug.form,Cataplasma
drug.form,Parche
drug.form,Polvo con recubrimiento entérico
drug.form,Polvo efervescente
drug.form,Lápiz
drug.form,Comprimido masticable
drug.form,Yeso
drug.form,Inhalador
drug.form,Premezcla de fármacos
drug.form,Píldora (oral)
drug.form,Polvo
drug.form,Polvo de liberación controlada
drug.form,Polvo para suspensión de liberación controlada
drug.form,Pasta
drug.form,Polvo para suspensión
drug.form,Polvo para solución
drug.form,Anillo de liberación lenta
drug.form,Suspensión de liberación retardada
drug.form,Shampoo
drug.form,Spray inhalador
drug.form,Solución
drug.form,Jabón en barra
drug.form,Cápsula dispersable
drug.form,Esponja
drug.form,Aerosol
drug.form,Supositorio de liberación controlada
drug.form,Cápsula de liberación controlada
drug.form,Disco de liberación controlada
drug.form,Jarabe de liberación controlada
drug.form,Comprimido de liberación controlada
drug.form,Stick
drug.form,Tira
drug.form,Supositorio
drug.form,Suspensión
drug.form,Sutura
drug.form,Algodón
drug.form,Jarabe
drug.form,Comprimido
drug.form,Comprimido masticable
drug.form,Comprimido dispersable
drug.form,Comprimido de liberación retardada
drug.form,Comprimidos de rápida disolución
drug.form,Comprimido sublingual
drug.form,Cinta
drug.form,Dilatador de pezones
drug.form,Té de hierbas
drug.form,Pasta Dentífrica
drug.form,Sin asignar
drug.form,Oblea
drug.form,Toallita
drug.route,Aplicar externamente
drug.route,Bucal
drug.route,Dental
drug.route,Epidural
drug.route,Tubo endotraqueal
drug.route,Tubo de gastrostomía
drug.route,Irrigante GU
drug.route,Sumergir (mojar) Parte del Cuerpo
drug.route,Intra-arterial
drug.route,Intrabursal
drug.route,Intracardiaco
drug.route,Intracervical (útero)
drug.route,Intradérmica
drug.route,Inhalación
drug.route,Arteria intrahepática
drug.route,Intramuscular
drug.route,Intranasal
drug.route,Intraocular
drug.route,Intraperitoneal
drug.route,Intrasinovial
drug.route,Intratecal
drug.route,Intrauterino
drug.route,intravenoso
drug.route,Boca/Garganta
drug.route,Mucosa
drug.route,Nasal
drug.route,Nasogástrico
drug.route,Cánula nasal
drug.route,Tubo nasotraqueal
drug.route,Oftálmico
drug.route,Ótico
drug.route,Otros/Misc
drug.route,Perfusión
drug.route,Oral
drug.route,Rectal
drug.route,Mascara de Ventilación
drug.route,Vendaje Mojado
drug.route,Subcutáneo
drug.route,Sublingual
drug.route,Tópico
drug.route,Traqueotomía
drug.route,Transdérmico
drug.route,Translingual
drug.route,Uretral
drug.route,Vaginal
drug.route,Ventimask
drug.route,Herida
diet.therapeutic,Nada por la Boca / NPO
diet.therapeutic,Bypass Gástrico Etapa 1
diet.therapeutic,Bypass Gástrico Etapa 2
diet.therapeutic,Bypass Gástrico Etapa 3
diet.therapeutic,Bypass Gástrico Etapa 4
diet.therapeutic,Solo Líquido sin Lactosa
diet.therapeutic,Quirúrgica - Baja en Lactosa
diet.therapeutic,Post-Gastrectomía
diet.therapeutic,Normal
diet.therapeutic,Mecánica Suave / Suave Dental
diet.therapeutic,Disfagia - Puré
diet.therapeutic,Disfagia - Alterada
diet.therapeutic,Disfagia - Avanzado
diet.therapeutic,Cardíaco
diet.therapeutic,Bajo en Grasas
diet.therapeutic,Sin Sales Añadidas - SSA
diet.therapeutic,2 gramos de sodio
diet.therapeutic,Renal
diet.therapeutic,Prerenal
diet.therapeutic,GI Suave - Bajo residuo
diet.therapeutic,Blanda
diet.therapeutic,Corbohidrato consistente
diet.therapeutic,Dieta para Diabetes Gestacional
diet.therapeutic,Hiperemesis
diet.therapeutic,Pequeñas comidas frecuentes
diet.therapeutic,Dieta Líquida Clara
diet.therapeutic,Dieta Líquida / Sin azúcares concentrados
diet.therapeutic,Solo líquidos
diet.therapeutic,Neutropénica
diet.therapeutic,Sin Gluten
diet.therapeutic,Alimentación con los Dedos
medication.dosage,1 vez al día
medication.dosage,1 vez al día por la mañana
medication.dosage,1 vez al día por la tarde
medication.dosage,1 vez al día al acostarse
medication.dosage,2 veces al día
medication.dosage,3 veces al día
medication.dosage,3 veces al día, antes de las comidas
medication.dosage,3 veces al día, con las comidas
medication.dosage,4 veces al día
medication.dosage,cada 2 horas
medication.dosage,cada 4 horas
medication.dosage,cada 6 horas
medication.dosage,cada 8 horas
medication.dosage,cada 12 horas
medication.dosage,cada dos días
medication.dosage,1 vez por semana
medication.dosage,cada 2 semanas
medication.dosage,cada 28 días
medication.dosage,cada mes
medication.dosage,según sea necesario
medication.dosage,1 vez
occupation,Desempleado
occupation,Administrador
occupation,Agrónomo
occupation,Astronauta
occupation,Arqueólogo
occupation,Arquitecto
occupation,Auditor
occupation,Autor
occupation,Artista
occupation,Bailarina
occupation,Bajista
occupation,Contramaestre
occupation,Calderero
occupation,Librero
occupation,Constructor
occupation,Taxista
occupation,Policía
occupation,Ebanista
occupation,Caligrafista
occupation,Call girl
occupation,Camarógrafo
occupation,Consejero de Campamento
occupation,Diseñador de automóviles
occupation,Cardiólogo
occupation,Carpintero
occupation,Cartógrafo
occupation,Dibujante
occupation,Carretero
occupation,Cajero
occupation,Celebridad
occupation,Violonchelista
occupation,Crítico
occupation,CEO (Director Ejecutivo)
occupation,CFO (Director Financiero)
occupation,Velero (velas)
occupation,Vendedor ambulante
occupation,Chófer
occupation,Animador
occupation,Quesero
occupation,Chef
occupation,Ingeniero químico
occupation,Técnico químico
occupation,Químico
occupation,Jefe de Policía
occupation,Oficial de primera
occupation,Deshollinador
occupation,Pedicuro
occupation,Quiropráctico
occupation,Coreógrafo
occupation,Acomodador de iglesias
occupation,Agente de la CIA 
occupation,Predicador de circuito
occupation,Funcionario público
occupation,Ingeniero Civil
occupation,Clarinetista
occupation,Limpiador
occupation,Empleado
occupation,Relojero
occupation,Entrenador
occupation,Cochero
occupation,Guardia costera
occupation,Zapatero
occupation,Científico cognitivo
occupation,Columnista
occupation,Comediante
occupation,Fabricante de brújulas
occupation,Compositor
occupation,Ingeniero informático
occupation,Programador informático
occupation,Conserje
occupation,Director de orquesta
occupation,Condestable
occupation,Ingeniero constructor
occupation,Administrador de obra
occupation,Trabajador de la construcción
occupation,Consul
occupation,Consultor
occupation,Administrador de contrato
occupation,Inspector
occupation,Juez de instrucción
occupation,Director corporativo
occupation,Carcelero
occupation,Corrector
occupation,Corresponsal
occupation,Cosmetólogo
occupation,Cosmonauta
occupation,Verdulero
occupation,Diseñador de ropa
occupation,Mensajero
occupation,Bufón de corte
occupation,Vaquero
occupation,Contador Público
occupation,Artesano
occupation,Ingeniero creativo
occupation,Pregonero
occupation,Arrendatario
occupation,Criptógrafo
occupation,Criptozoólogo
occupation,Cristalógrafo
occupation,Curandero
occupation,Guardia
occupation,Aduanero
occupation,Cuchillero
occupation,Bailarín
occupation,Instructor de baile
occupation,Administrador de base de datos (DBA)
occupation,Diputado
occupation,Diputado (parlamentario)
occupation,Demógrafo
occupation,Demolicionista
occupation,Dentista
occupation,Dermatólogo
occupation,Diseñador
occupation,Detective
occupation,Lapidario de diamantes
occupation,Dictador
occupation,Dietista
occupation,Diplomático
occupation,Director
occupation,Disc jockey
occupation,Transportista
occupation,Destilador
occupation,Buzo
occupation,Trabajador de muelle
occupation,Documentalista
occupation,Doctor (Doctorado)
occupation,Doctor en educación
occupation,Doctor (Médico)
occupation,Doctor en terapia física
occupation,Criador de perros
occupation,Perrero
occupation,Paseador de perros
occupation,Trabajador doméstico
occupation,Dominatrix
occupation,Entrenador de burros
occupation,Delineante
occupation,Dramaturgo
occupation,Mayorista
occupation,Conductor de carro
occupation,Modista
occupation,Instructor militar
occupation,Conductor
occupation,Traficante
occupation,Baterista
occupation,Tonelero
occupation,Yesero
occupation,Pintor
occupation,Ecologista
occupation,Economista
occupation,Editor
occupation,Educacionista
occupation,Educador
occupation,Egiptólogo
occupation,Ingeniero eléctrico
occupation,Electricista
occupation,Ascensorista
occupation,Embalsamador
occupation,Embriólogo
occupation,Técnico de emergencias médicas
occupation,Maquinista
occupation,Ingeniero
occupation,Grabador
occupation,Enólogo
occupation,Entomólogo
occupation,Empresario
occupation,Científico ambiental
occupation,Ergonomista
occupation,Escort
occupation,Agente inmobiliario
occupation,Esteticista
occupation,Etnólogo
occupation,Etólogo
occupation,Etimologista
occupation,Evangelista
occupation,Tesorero
occupation,Ejecutiva
occupation,Bailarina exótica
occupation,Exterminador
occupation,Extra
occupation,Halconero
occupation,Granjero
occupation,Herrador
occupation,Diseñador de modas
occupation,Agente FBI
occupation,Peletero
occupation,Cerca
occupation,Barquero
occupation,Cineasta
occupation,Productor
occupation,Asesor financiero
occupation,Analista financiero
occupation,Gerente de finanzas
occupation,Planificador financiero
occupation,Financiero
occupation,Departamento de bomberos
occupation,Oficial de bomberos
occupation,Bombero
occupation,Primer oficial
occupation,Pescadero
occupation,Pescador
occupation,Montador
occupation,Flautista
occupation,Químico de alimentos
occupation,Auxiliar de vuelo
occupation,Mecánico de velo
occupation,Instructor de vuelo
occupation,Gerente de planta
occupation,Florista
occupation,Flautista
occupation,Capataz
occupation,Forense
occupation,Frutero
occupation,Peletero
occupation,Guardabosques
occupation,Anfitrión de programa de juegos
occupation,Diseñador de juegos
occupation,Basurero
occupation,Jardinero
occupation,Portero
occupation,Tallador de gemas
